index,filename,source_relative_path,status,backend_save_allowed,review_required,reupload_required,backend_route,backend_reason_codes,warnings,quality_status,quality_score,quality_issues,ocr_success,ocr_confidence,ocr_text_length,ocr_text_quality_status,ocr_text_quality_score,document_type,document_type_confidence,common_field_count,critical_fields_valid_for_backend,field_validation_status,row_validation_status,safe_row_count,unsafe_row_count,lab_result_count,patient_name_found,date_found,age_found,sex_found,national_id_hash_found,text_relative_path,json_relative_path,source_preview
1,-2147483648_-210193.jpg,samples/selected samples/-2147483648_-210193.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|some_rows_require_review,,good_quality,0.633,too_bright;possible_rotation_or_sideways,True,0.47,1104,usable_short_culture_text,0.623,lab,0.6,0,False,"{""center_name"": ""missing"", ""national_id"": ""missing"", ""tracking_number"": ""missing"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""invalid"": 2, ""review"": 7, ""valid"": 1}",1,9,10,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0001_-2147483648_-210193.txt,notebook_outputs/selected_samples_v7/json/0001_-2147483648_-210193.json,notebook_outputs/selected_samples_v7/source_previews/0001_-2147483648_-210193.png
2,-2147483648_-210195.jpg,samples/selected samples/-2147483648_-210195.jpg,partial_extraction,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|no_safe_lab_rows|partial_extraction,no_lab_rows_extracted,good_quality,0.612,too_bright;possible_rotation_or_sideways,True,0.628,424,usable_noisy_text,0.345,lab,0.6,1,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""missing"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}",{},0,0,0,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0002_-2147483648_-210195.txt,notebook_outputs/selected_samples_v7/json/0002_-2147483648_-210195.json,notebook_outputs/selected_samples_v7/source_previews/0002_-2147483648_-210195.png
3,0014161672_14041209_O_00404121721.pdf,samples/selected samples/0014161672_14041209_O_00404121721.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,960,good_text,0.825,lab,0.8,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 19, ""review"": 3}",19,3,22,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0003_0014161672_14041209_O_00404121721.txt,notebook_outputs/selected_samples_v7/json/0003_0014161672_14041209_O_00404121721.json,notebook_outputs/selected_samples_v7/source_previews/0003_0014161672_14041209_O_00404121721.png
4,0020139871_14041209_O_00404121714.pdf,samples/selected samples/0020139871_14041209_O_00404121714.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,492,good_text,0.626,lab,0.6,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 3, ""review"": 1}",3,1,4,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0004_0020139871_14041209_O_00404121714.txt,notebook_outputs/selected_samples_v7/json/0004_0020139871_14041209_O_00404121714.json,notebook_outputs/selected_samples_v7/source_previews/0004_0020139871_14041209_O_00404121714.png
5,0021858845_14041209_O_00404121731.pdf,samples/selected samples/0021858845_14041209_O_00404121731.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,768,good_text,0.777,lab,0.6,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 15, ""review"": 2}",15,2,17,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0005_0021858845_14041209_O_00404121731.txt,notebook_outputs/selected_samples_v7/json/0005_0021858845_14041209_O_00404121731.json,notebook_outputs/selected_samples_v7/source_previews/0005_0021858845_14041209_O_00404121731.png
6,0023471026_14041209_O_00404121728.pdf,samples/selected samples/0023471026_14041209_O_00404121728.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,406,usable_noisy_text,0.493,lab,0.6,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 1, ""review"": 1}",1,1,2,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0006_0023471026_14041209_O_00404121728.txt,notebook_outputs/selected_samples_v7/json/0006_0023471026_14041209_O_00404121728.json,notebook_outputs/selected_samples_v7/source_previews/0006_0023471026_14041209_O_00404121728.png
7,0024150010_14041209_O_00404121722.pdf,samples/selected samples/0024150010_14041209_O_00404121722.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,958,good_text,0.825,lab,0.8,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 19, ""review"": 3}",19,3,22,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0007_0024150010_14041209_O_00404121722.txt,notebook_outputs/selected_samples_v7/json/0007_0024150010_14041209_O_00404121722.json,notebook_outputs/selected_samples_v7/source_previews/0007_0024150010_14041209_O_00404121722.png
8,0025631314_14041209_O_00404121726.pdf,samples/selected samples/0025631314_14041209_O_00404121726.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,471,good_text,0.6,lab,0.6,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 3, ""review"": 1}",3,1,4,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0008_0025631314_14041209_O_00404121726.txt,notebook_outputs/selected_samples_v7/json/0008_0025631314_14041209_O_00404121726.json,notebook_outputs/selected_samples_v7/source_previews/0008_0025631314_14041209_O_00404121726.png
9,0025692283_14041209_O_00404121730.pdf,samples/selected samples/0025692283_14041209_O_00404121730.pdf,extracted_good,True,False,False,save_to_database,some_rows_require_review,,pdf_quality_not_assessed_here,,,True,0.95,468,good_text,0.612,lab,0.6,7,True,"{""center_name"": ""valid"", ""national_id"": ""valid"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""valid"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""missing""}","{""valid"": 3, ""review"": 1}",3,1,4,True,True,True,True,True,notebook_outputs/selected_samples_v7/texts/0009_0025692283_14041209_O_00404121730.txt,notebook_outputs/selected_samples_v7/json/0009_0025692283_14041209_O_00404121730.json,notebook_outputs/selected_samples_v7/source_previews/0009_0025692283_14041209_O_00404121730.png
10,20260427_181554.jpg,samples/selected samples/20260427_181554.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|no_safe_lab_rows|some_rows_require_review,,good_quality,0.746,,True,0.673,344,usable_noisy_text,0.464,lab,1.0,2,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""missing"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""valid""}","{""review"": 6}",0,6,6,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0010_20260427_181554.txt,notebook_outputs/selected_samples_v7/json/0010_20260427_181554.json,notebook_outputs/selected_samples_v7/source_previews/0010_20260427_181554.png
11,20260427_181636.jpg,samples/selected samples/20260427_181636.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|no_safe_lab_rows|some_rows_require_review,,good_quality,0.638,,True,0.641,310,usable_noisy_text,0.357,lab,0.6,2,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""review"": 4}",0,4,4,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0011_20260427_181636.txt,notebook_outputs/selected_samples_v7/json/0011_20260427_181636.json,notebook_outputs/selected_samples_v7/source_previews/0011_20260427_181636.png
12,20260427_181654.jpg,samples/selected samples/20260427_181654.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|no_safe_lab_rows|some_rows_require_review,,needs_preprocessing,0.49,,True,0.634,296,usable_noisy_text,0.378,lab,1.0,2,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""missing"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""valid""}","{""review"": 2}",0,2,2,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0012_20260427_181654.txt,notebook_outputs/selected_samples_v7/json/0012_20260427_181654.json,notebook_outputs/selected_samples_v7/source_previews/0012_20260427_181654.png
13,20260427_181713.jpg,samples/selected samples/20260427_181713.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date,,good_quality,0.771,,True,0.647,256,usable_short_culture_text,0.4,lab,0.4,2,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""valid"": 1}",1,0,1,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0013_20260427_181713.txt,notebook_outputs/selected_samples_v7/json/0013_20260427_181713.json,notebook_outputs/selected_samples_v7/source_previews/0013_20260427_181713.png
14,20260427_181919.jpg,samples/selected samples/20260427_181919.jpg,extracted_good,False,True,False,manual_review,missing_report_date|some_rows_require_review,,good_quality,0.765,,True,0.74,437,good_text,0.635,lab,0.8,6,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""valid"", ""sex"": ""valid"", ""age"": ""valid"", ""doctor_name"": ""valid""}","{""valid"": 1, ""review"": 5}",1,5,6,True,False,True,True,False,notebook_outputs/selected_samples_v7/texts/0014_20260427_181919.txt,notebook_outputs/selected_samples_v7/json/0014_20260427_181919.json,notebook_outputs/selected_samples_v7/source_previews/0014_20260427_181919.png
15,۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.jpg,samples/selected samples/۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|some_rows_require_review,,good_quality,0.786,possible_rotation_or_sideways,True,0.713,1586,good_text,0.857,lab,1.0,3,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""valid""}","{""valid"": 13, ""corrected_review"": 2, ""review"": 10, ""invalid"": 2}",13,14,27,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0015_۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.txt,notebook_outputs/selected_samples_v7/json/0015_۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.json,notebook_outputs/selected_samples_v7/source_previews/0015_۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.png
16,۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|some_rows_require_review,,good_quality,0.84,,True,0.562,1210,good_text,0.789,lab,1.0,2,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""invalid"": 3, ""review"": 10, ""valid"": 2}",2,13,15,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0016_۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.txt,notebook_outputs/selected_samples_v7/json/0016_۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.json,notebook_outputs/selected_samples_v7/source_previews/0016_۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.png
17,۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.jpg,ocr_unreliable_needs_reupload,False,False,True,ask_user_reupload,missing_patient_identity_or_backend_context|missing_report_date|ocr_unreliable_needs_reupload|some_rows_require_review,ocr_text_quality=gibberish_text,needs_preprocessing,0.523,severe_blur,True,0.261,1147,gibberish_text,0.301,unknown_medical,0.0,0,False,"{""center_name"": ""missing"", ""national_id"": ""missing"", ""tracking_number"": ""missing"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""review"": 1}",0,1,1,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0017_۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.txt,notebook_outputs/selected_samples_v7/json/0017_۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.json,notebook_outputs/selected_samples_v7/source_previews/0017_۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.png
18,۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|some_rows_require_review,,good_quality,0.77,,True,0.445,1015,good_text,0.605,lab,0.4,1,False,"{""center_name"": ""missing"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""review"": 7, ""valid"": 1}",1,7,8,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0018_۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.txt,notebook_outputs/selected_samples_v7/json/0018_۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.json,notebook_outputs/selected_samples_v7/source_previews/0018_۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.png
19,۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|some_rows_require_review,,good_quality,0.849,,True,0.644,395,usable_short_culture_text,0.4,lab,1.0,3,False,"{""center_name"": ""valid"", ""national_id"": ""missing"", ""tracking_number"": ""valid"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""valid""}","{""valid"": 2, ""review"": 1}",2,1,3,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0019_۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.txt,notebook_outputs/selected_samples_v7/json/0019_۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.json,notebook_outputs/selected_samples_v7/source_previews/0019_۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.png
20,۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.jpg,extracted_good,False,True,False,manual_review,missing_patient_identity_or_backend_context|missing_report_date|no_safe_lab_rows|some_rows_require_review,,good_quality,0.849,,True,0.48,587,usable_noisy_text,0.4,lab,0.2,0,False,"{""center_name"": ""missing"", ""national_id"": ""missing"", ""tracking_number"": ""missing"", ""date_of_test_or_report"": ""missing"", ""patient_name"": ""missing"", ""sex"": ""missing"", ""age"": ""missing"", ""doctor_name"": ""missing""}","{""invalid"": 1, ""review"": 3}",0,4,4,False,False,False,False,False,notebook_outputs/selected_samples_v7/texts/0020_۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.txt,notebook_outputs/selected_samples_v7/json/0020_۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.json,notebook_outputs/selected_samples_v7/source_previews/0020_۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.png
